pass,position,item_id
B_natural,19,D006
B_natural,20,C009
B_natural,21,F006
B_natural,22,F014
B_natural,23,F012
B_natural,24,D014
B_natural,25,F007
B_natural,26,C011
B_natural,27,D019
B_natural,28,F022
B_natural,29,F021
B_natural,30,F010
B_natural,31,C040
B_natural,32,D023
B_natural,33,C031
B_natural,34,C013
B_natural,35,D029
B_natural,36,F020
B_natural,37,C033
B_natural,38,C037
B_natural,39,D004
B_natural,40,F015
B_natural,41,D031
B_natural,42,F002
B_natural,43,F004
B_natural,44,D020
B_natural,45,D012
B_natural,46,C032
B_natural,47,C036
B_natural,48,D024
B_natural,49,F003
B_natural,50,F005
B_natural,51,F001
B_natural,52,C035
B_natural,53,D010
B_natural,54,D015
B_natural,55,D009
B_natural,56,C003
B_natural,57,D001
B_natural,58,C029
B_natural,59,D022
B_natural,60,D033
B_natural,61,D011
B_natural,62,D017
B_natural,63,F008
B_natural,64,C023
B_natural,65,C015
B_natural,66,C030
B_natural,67,C006
B_natural,68,C024
B_natural,69,D008
B_natural,70,D018
B_natural,71,D013
B_natural,72,C025
B_natural,73,D025
B_natural,74,D007
B_natural,75,C001
B_natural,76,F018
B_natural,77,D005
B_natural,78,D026
B_natural,79,F009
B_natural,80,C005
B_natural,81,D032
B_natural,82,C039
B_natural,83,C016
B_natural,84,F025
B_natural,85,D034
B_natural,86,C034
B_natural,87,D030
B_natural,88,F019
B_natural,89,C026
B_natural,90,C027
B_natural,91,C002
B_natural,92,C021
B_natural,93,C012
B_natural,94,C007
B_natural,95,F013
B_natural,96,D003
B_natural,97,C017
B_natural,98,F017
B_natural,99,C014
B_natural,100,D035
C_creak,1,D021
C_creak,2,D006
C_creak,3,F002
C_creak,4,F017
C_creak,5,D012
C_creak,6,D003
C_creak,7,C007
C_creak,8,C017
C_creak,9,D014
C_creak,10,D017
C_creak,11,C020
C_creak,12,D035
C_creak,13,F023
C_creak,14,C003
C_creak,15,C022
C_creak,16,F019
C_creak,17,F009
C_creak,18,F016
C_creak,19,F007
C_creak,20,F003
C_creak,21,C031
C_creak,22,F020
C_creak,23,C036
C_creak,24,D024
C_creak,25,D010
C_creak,26,D002
C_creak,27,D031
C_creak,28,C027
C_creak,29,C010
C_creak,30,F013
C_creak,31,F022
C_creak,32,D007
C_creak,33,C015
C_creak,34,F015
C_creak,35,D011
C_creak,36,C030
C_creak,37,D020
C_creak,38,C005
C_creak,39,C004
C_creak,40,D025
C_creak,41,D013
C_creak,42,C025
C_creak,43,D008
C_creak,44,C039
C_creak,45,D023
C_creak,46,D001
C_creak,47,C024
C_creak,48,D027
C_creak,49,F021
C_creak,50,F011
C_creak,51,C009
C_creak,52,C040
C_creak,53,C008
C_creak,54,D018
C_creak,55,D009
C_creak,56,C035
C_creak,57,D019
C_creak,58,C021
C_creak,59,C014
C_creak,60,F006
C_creak,61,F010
C_creak,62,F025
C_creak,63,C029
C_creak,64,F008
C_creak,65,C011
C_creak,66,D028
C_creak,67,C018
C_creak,68,D016
C_creak,69,F018
C_creak,70,F001
C_creak,71,D030
C_creak,72,C002
C_creak,73,C001
C_creak,74,C006
C_creak,75,C034
C_creak,76,C033
C_creak,77,F012
C_creak,78,D026
C_creak,79,C019
C_creak,80,C032
C_creak,81,C012
C_creak,82,D033
C_creak,83,C013
C_creak,84,D029
C_creak,85,C026
C_creak,86,F004
C_creak,87,D005
C_creak,88,C016
C_creak,89,C038
C_creak,90,D015
C_creak,91,C037
C_creak,92,D034
C_creak,93,F014
C_creak,94,F024
C_creak,95,D004
C_creak,96,C023
C_creak,97,F005
C_creak,98,C028
C_creak,99,D032
C_creak,100,D022
